Year,Month,Monthly milk production (in millions of pounds),Number of States,Estimated production USA (in millions of pounds),,
1960,January,9820,50,9820,,
1960,February,9580,50,9580,,
1960,March,10663,50,10663,,
1960,April,11020,50,11020,,
1960,May,12206,50,12206,,
1960,June,11689,50,11689,,
1960,July,10750,50,10750,,
1960,August,10006,50,10006,,
1960,September,9352,50,9352,,
1960,October,9365,50,9365,,
1960,November,8974,50,8974,,
1960,December,9495,50,9495,,
1961,January,9862,50,9862,,
1961,February,9438,50,9438,,
1961,March,10931,50,10931,,
1961,April,11200,50,11200,,
1961,May,12375,50,12375,,
1961,June,12039,50,12039,,
1961,July,11057,50,11057,,
1961,August,10270,50,10270,,
1961,September,9621,50,9621,,
1961,October,9672,50,9672,,
1961,November,9219,50,9219,,
1961,December,9772,50,9772,,
1962,January,10111,50,10111,,
1962,February,9598,50,9598,,
1962,March,10994,50,10994,,
1962,April,11232,50,11232,,
1962,May,12429,50,12429,,
1962,June,11926,50,11926,,
1962,July,10912,50,10912,,
1962,August,10191,50,10191,,
1962,September,9636,50,9636,,
1962,October,9740,50,9740,,
1962,November,9345,50,9345,,
1962,December,9813,50,9813,,
1963,January,10065,50,10065,,
1963,February,9470,50,9470,,
1963,March,10879,50,10879,,
1963,April,11196,50,11196,,
1963,May,12315,50,12315,,
1963,June,11841,50,11841,,
1963,July,10861,50,10861,,
1963,August,10130,50,10130,,
1963,September,9558,50,9558,,
1963,October,9557,50,9557,,
1963,November,9205,50,9205,,
1963,December,9706,50,9706,,
1964,January,10148,50,10148,,
1964,February,9937,50,9937,,
1964,March,11099,50,11099,,
1964,April,11383,50,11383,,
1964,May,12356,50,12356,,
1964,June,11820,50,11820,,
1964,July,10874,50,10874,,
1964,August,10235,50,10235,,
1964,September,9636,50,9636,,
1964,October,9700,50,9700,,
1964,November,9419,50,9419,,
1964,December,9991,50,9991,,
1965,January,10419,50,10419,,
1965,February,9820,50,9820,,
1965,March,11155,50,11155,,
1965,April,11305,50,11305,,
1965,May,12206,50,12206,,
1965,June,11742,50,11742,,
1965,July,10856,50,10856,,
1965,August,10046,50,10046,,
1965,September,9404,50,9404,,
1965,October,9446,50,9446,,
1965,November,9106,50,9106,,
1965,December,9556,50,9556,,
1966,January,9805,50,9805,,
1966,February,9137,50,9137,,
1966,March,10537,50,10537,,
1966,April,10725,50,10725,,
1966,May,11525,50,11525,,
1966,June,11269,50,11269,,
1966,July,10350,50,10350,,
1966,August,9763,50,9763,,
1966,September,9263,50,9263,,
1966,October,9333,50,9333,,
1966,November,9012,50,9012,,
1966,December,9511,50,9511,,
1967,January,9847,50,9847,,
1967,February,9203,50,9203,,
1967,March,10517,50,10517,,
1967,April,10734,50,10734,,
1967,May,11470,50,11470,,
1967,June,11095,50,11095,,
1967,July,10315,50,10315,,
1967,August,9709,50,9709,,
1967,September,9124,50,9124,,
1967,October,9167,50,9167,,
1967,November,8814,50,8814,,
1967,December,9299,50,9299,,
1968,January,9546,50,9546,,
1968,February,9207,50,9207,,
1968,March,10169,50,10169,,
1968,April,10457,50,10457,,
1968,May,11227,50,11227,,
1968,June,10840,50,10840,,
1968,July,10201,50,10201,,
1968,August,9567,50,9567,,
1968,September,9035,50,9035,,
1968,October,9120,50,9120,,
1968,November,8721,50,8721,,
1968,December,9191,50,9191,,
1969,January,9411,50,9411,,
1969,February,8792,50,8792,,
1969,March,9960,50,9960,,
1969,April,10265,50,10265,,
1969,May,11034,50,11034,,
1969,June,10759,50,10759,,
1969,July,10142,50,10142,,
1969,August,9673,50,9673,,
1969,September,9165,50,9165,,
1969,October,9138,50,9138,,
1969,November,8691,50,8691,,
1969,December,9170,50,9170,,
1970,January,9448,50,9448,,
1970,February,8896,50,8896,,
1970,March,10126,50,10126,,
1970,April,10328,50,10328,,
1970,May,11109,50,11109,,
1970,June,10792,50,10792,,
1970,July,10226,50,10226,,
1970,August,9767,50,9767,,
1970,September,9273,50,9273,,
1970,October,9280,50,9280,,
1970,November,8842,50,8842,,
1970,December,9349,50,9349,,
1971,January,9630,50,9630,,
1971,February,8994,50,8994,,
1971,March,10220,50,10220,,
1971,April,10423,50,10423,,
1971,May,11159,50,11159,,
1971,June,10815,50,10815,,
1971,July,10285,50,10285,,
1971,August,9860,50,9860,,
1971,September,9328,50,9328,,
1971,October,9444,50,9444,,
1971,November,9004,50,9004,,
1971,December,9427,50,9427,,
1972,January,9701,50,9701,,
1972,February,9448,50,9448,,
1972,March,10487,50,10487,,
1972,April,10633,50,10633,,
1972,May,11303,50,11303,,
1972,June,10983,50,10983,,
1972,July,10450,50,10450,,
1972,August,9982,50,9982,,
1972,September,9443,50,9443,,
1972,October,9460,50,9460,,
1972,November,8987,50,8987,,
1972,December,9401,50,9401,,
1973,January,9525,50,9525,,
1973,February,8932,50,8932,,
1973,March,10176,50,10176,,
1973,April,10298,50,10298,,
1973,May,10952,50,10952,,
1973,June,10532,50,10532,,
1973,July,10014,50,10014,,
1973,August,9489,50,9489,,
1973,September,8877,50,8877,,
1973,October,8948,50,8948,,
1973,November,8590,50,8590,,
1973,December,9052,50,9052,,
1974,January,9287,50,9287,,
1974,February,8765,50,8765,,
1974,March,9988,50,9988,,
1974,April,10122,50,10122,,
1974,May,10841,50,10841,,
1974,June,10563,50,10563,,
1974,July,10139,50,10139,,
1974,August,9690,50,9690,,
1974,September,9140,50,9140,,
1974,October,9125,50,9125,,
1974,November,8669,50,8669,,
1974,December,9087,50,9087,,
1975,January,9338,50,9338,,
1975,February,8756,50,8756,,
1975,March,9978,50,9978,,
1975,April,10088,50,10088,,
1975,May,10773,50,10773,,
1975,June,10444,50,10444,,
1975,July,9969,50,9969,,
1975,August,9546,50,9546,,
1975,September,9072,50,9072,,
1975,October,9186,50,9186,,
1975,November,8833,50,8833,,
1975,December,9343,50,9343,,
1976,January,9607,50,9607,,
1976,February,9308,50,9308,,
1976,March,10302,50,10302,,
1976,April,10480,50,10480,,
1976,May,11108,50,11108,,
1976,June,10816,50,10816,,
1976,July,10453,50,10453,,
1976,August,10112,50,10112,,
1976,September,9616,50,9616,,
1976,October,9643,50,9643,,
1976,November,9233,50,9233,,
1976,December,9678,50,9678,,
1977,January,9887,50,9887,,
1977,February,9301,50,9301,,
1977,March,10572,50,10572,,
1977,April,10725,50,10725,,
1977,May,11354,50,11354,,
1977,June,10989,50,10989,,
1977,July,10671,50,10671,,
1977,August,10363,50,10363,,
1977,September,9820,50,9820,,
1977,October,9838,50,9838,,
1977,November,9391,50,9391,,
1977,December,9787,50,9787,,
1978,January,9994,50,9994,,
1978,February,9287,50,9287,,
1978,March,10523,50,10523,,
1978,April,10631,50,10631,,
1978,May,11178,50,11178,,
1978,June,10851,50,10851,,
1978,July,10534,50,10534,,
1978,August,10213,50,10213,,
1978,September,9733,50,9733,,
1978,October,9832,50,9832,,
1978,November,9364,50,9364,,
1978,December,9788,50,9788,,
1979,January,9960,50,9960,,
1979,February,9281,50,9281,,
1979,March,10534,50,10534,,
1979,April,10603,50,10603,,
1979,May,11243,50,11243,,
1979,June,10948,50,10948,,
1979,July,10683,50,10683,,
1979,August,10409,50,10409,,
1979,September,9987,50,9987,,
1979,October,10063,50,10063,,
1979,November,9623,50,9623,,
1979,December,10077,50,10077,,
1980,January,10307,50,10307,,
1980,February,9970,50,9970,,
1980,March,10946,50,10946,,
1980,April,11013,50,11013,,
1980,May,11664,50,11664,,
1980,June,11321,50,11321,,
1980,July,11036,50,11036,,
1980,August,10782,50,10782,,
1980,September,10364,50,10364,,
1980,October,10455,50,10455,,
1980,November,10076,50,10076,,
1980,December,10491,50,10491,,
1981,January,10805,50,10805,,
1981,February,10161,50,10161,,
1981,March,11549,50,11549,,
1981,April,11555,50,11555,,
1981,May,12099,50,12099,,
1981,June,11606,50,11606,,
1981,July,11387,50,11387,,
1981,August,11132,50,11132,,
1981,September,10659,50,10659,,
1981,October,10768,50,10768,,
1981,November,10387,50,10387,,
1981,December,10905,50,10905,,
1982,January,11161,50,11161,,
1982,February,10391,50,10391,,
1982,March,11728,50,11728,,
1982,April,11837,50,11837,,
1982,May,11837,50,11837,,
1982,June,11837,50,11837,,
1982,July,11028,50,11028,,
1982,August,11028,50,11028,,
1982,September,11028,50,11028,,
1982,October,10660,50,10660,,
1982,November,10660,50,10660,,
1982,December,10660,50,10660,,
1983,January,11473,50,11473,,
1983,February,10725,50,10725,,
1983,March,12049,50,12049,,
1983,April,11966,50,11966,,
1983,May,12642,50,12642,,
1983,June,12273,50,12273,,
1983,July,12061,50,12061,,
1983,August,11692,50,11692,,
1983,September,11262,50,11262,,
1983,October,11430,50,11430,,
1983,November,11000,50,11000,,
1983,December,11395,50,11395,,
1984,January,11375,50,11375,,
1984,February,10855,50,10855,,
1984,March,11723,50,11723,,
1984,April,11662,50,11662,,
1984,May,12227,50,12227,,
1984,June,11720,50,11720,,
1984,July,11485,50,11485,,
1984,August,11206,50,11206,,
1984,September,10777,50,10777,,
1984,October,10918,50,10918,,
1984,November,10529,50,10529,,
1984,December,10967,50,10967,,
1985,January,11291,50,11291,,
1985,February,10525,50,10525,,
1985,March,11929,50,11929,,
1985,April,12082,50,12082,,
1985,May,12885,50,12885,,
