Date,Population in millions,,,
September 2018,328.48 ,,,
August 2018,328.26 ,,,
July 2018,328.03 ,,,
June 2018,327.83 ,,,
May 2018,327.63 ,,,
April 2018,327.45 ,,,
March 2018,327.28 ,,,
February 2018,327.12 ,,,
January 2018,326.97 ,,,
December 2017,326.78 ,,,
November 2017,326.60 ,,,
October 2017,326.39 ,,,
September 2017,326.17 ,,,
August 2017,325.94 ,,,
July 2017,325.72 ,,,
June 2017,325.51 ,,,
May 2017,325.32 ,,,
April 2017,325.13 ,,,
March 2017,324.97 ,,,
February 2017,324.81 ,,,
January 2017,324.66 ,,,
December 2016,324.46 ,,,
November 2016,324.28 ,,,
October 2016,324.08 ,,,
September 2016,323.84 ,,,
August 2016,323.62 ,,,
July 2016,323.41 ,,,
June 2016,323.19 ,,,
May 2016,323.00 ,,,
April 2016,322.81 ,,,
March 2016,322.64 ,,,
February 2016,322.47 ,,,
January 2016,322.31 ,,,
December 2015,322.15 ,,,
November 2015,321.94 ,,,
October 2015,321.74 ,,,
September 2015,321.50 ,,,
August 2015,321.27 ,,,
July 2015,321.04 ,,,
June 2015,320.83 ,,,
May 2015,320.64 ,,,
April 2015,320.45 ,,,
March 2015,320.27 ,,,
February 2015,320.10 ,,,
January 2015,319.96 ,,,
December 2014,319.77 ,,,
November 2014,319.57 ,,,
October 2014,319.35 ,,,
September 2014,319.11 ,,,
August 2014,318.87 ,,,
July 2014,318.62 ,,,
June 2014,318.42 ,,,
May 2014,318.22 ,,,
April 2014,318.03 ,,,
March 2014,317.86 ,,,
February 2014,317.70 ,,,
January 2014,317.52 ,,,
December 2013,317.33 ,,,
November 2013,317.14 ,,,
October 2013,316.92 ,,,
September 2013,316.69 ,,,
August 2013,316.45 ,,,
July 2013,316.23 ,,,
June 2013,316.04 ,,,
May 2013,315.84 ,,,
April 2013,315.69 ,,,
March 2013,315.52 ,,,
February 2013,315.37 ,,,
January 2013,315.24 ,,,
December 2012,315.07 ,,,
November 2012,314.88 ,,,
October 2012,314.68 ,,,
September 2012,314.46 ,,,
August 2012,314.22 ,,,
July 2012,313.99 ,,,
June 2012,313.79 ,,,
May 2012,313.60 ,,,
April 2012,313.43 ,,,
March 2012,313.25 ,,,
February 2012,313.06 ,,,
January 2012,312.91 ,,,
December 2011,312.71 ,,,
November 2011,312.51 ,,,
October 2011,312.31 ,,,
September 2011,312.10 ,,,
August 2011,311.86 ,,,
July 2011,311.64 ,,,
June 2011,311.43 ,,,
May 2011,311.26 ,,,
April 2011,311.08 ,,,
March 2011,310.90 ,,,
February 2011,310.75 ,,,
January 2011,310.59 ,,,
December 2010,310.39 ,,,
November 2010,310.21 ,,,
October 2010,310.02 ,,,
September 2010,309.79 ,,,
August 2010,309.56 ,,,
July 2010,309.34 ,,,
June 2010,309.13 ,,,
May 2010,308.95 ,,,
April 2010,308.76 ,,,
March 2010,308.57 ,,,
February 2010,308.38 ,,,
January 2010,308.17 ,,,
December 2009,307.95 ,,,
November 2009,307.76 ,,,
October 2009,307.52 ,,,
September 2009,307.27 ,,,
August 2009,307.01 ,,,
July 2009,306.77 ,,,
June 2009,306.54 ,,,
May 2009,306.32 ,,,
April 2009,306.11 ,,,
March 2009,305.92 ,,,
February 2009,305.71 ,,,
January 2009,305.52 ,,,
December 2008,305.30 ,,,
November 2008,305.09 ,,,
October 2008,304.86 ,,,
September 2008,304.61 ,,,
August 2008,304.36 ,,,
July 2008,304.09 ,,,
June 2008,303.85 ,,,
May 2008,303.62 ,,,
April 2008,303.38 ,,,
March 2008,303.19 ,,,
February 2008,302.97 ,,,
January 2008,302.75 ,,,
December 2007,302.53 ,,,
November 2007,302.29 ,,,
October 2007,302.03 ,,,
September 2007,301.77 ,,,
August 2007,301.50 ,,,
July 2007,301.23 ,,,
June 2007,300.97 ,,,
May 2007,300.73 ,,,
April 2007,300.51 ,,,
March 2007,300.29 ,,,
February 2007,300.10 ,,,
January 2007,299.89 ,,,
December 2006,299.66 ,,,
November 2006,299.40 ,,,
October 2006,299.16 ,,,
September 2006,298.91 ,,,
August 2006,298.63 ,,,
July 2006,298.38 ,,,
June 2006,298.12 ,,,
May 2006,297.87 ,,,
April 2006,297.65 ,,,
March 2006,297.42 ,,,
February 2006,297.22 ,,,
January 2006,296.99 ,,,
December 2005,296.76 ,,,
November 2005,296.51 ,,,
