Time Series of Monthly Average Price for Milk,,,,,
,,,,,
Date,Price ($/cwt),,,,
January 1960,4.37,,,,
February 1960,4.29,,,,
March 1960,4.19,,,,
April 1960,3.96,,,,
May 1960,3.82,,,,
June 1960,3.80,,,,
July 1960,3.96,,,,
August 1960,4.14,,,,
September 1960,4.42,,,,
October 1960,4.55,,,,
November 1960,4.65,,,,
December 1960,4.58,,,,
January 1961,4.45,,,,
February 1961,4.32,,,,
March 1961,4.19,,,,
April 1961,4.04,,,,
May 1961,3.94,,,,
June 1961,3.87,,,,
July 1961,4.02,,,,
August 1961,4.17,,,,
September 1961,4.38,,,,
October 1961,4.48,,,,
November 1961,4.54,,,,
December 1961,4.46,,,,
January 1962,4.40,,,,
February 1962,4.31,,,,
March 1962,4.19,,,,
April 1962,3.89,,,,
May 1962,3.75,,,,
June 1962,3.72,,,,
July 1962,3.86,,,,
August 1962,4.03,,,,
September 1962,4.21,,,,
October 1962,4.34,,,,
November 1962,4.40,,,,
December 1962,4.31,,,,
January 1963,4.26,,,,
February 1963,4.20,,,,
March 1963,4.07,,,,
April 1963,3.88,,,,
May 1963,3.80,,,,
June 1963,3.73,,,,
July 1963,3.91,,,,
August 1963,4.08,,,,
September 1963,4.27,,,,
October 1963,4.41,,,,
November 1963,4.47,,,,
December 1963,4.42,,,,
January 1964,4.33,,,,
February 1964,4.24,,,,
March 1964,4.10,,,,
April 1964,3.96,,,,
May 1964,3.82,,,,
June 1964,3.79,,,,
July 1964,3.94,,,,
August 1964,4.09,,,,
September 1964,4.33,,,,
October 1964,4.50,,,,
November 1964,4.52,,,,
December 1964,4.45,,,,
January 1965,4.32,,,,
February 1965,4.26,,,,
March 1965,4.16,,,,
April 1965,4.02,,,,
May 1965,3.89,,,,
June 1965,3.86,,,,
July 1965,4.02,,,,
August 1965,4.18,,,,
September 1965,4.43,,,,
October 1965,4.57,,,,
November 1965,4.65,,,,
December 1965,4.63,,,,
January 1966,4.57,,,,
February 1966,4.60,,,,
March 1966,4.57,,,,
April 1966,4.46,,,,
May 1966,4.36,,,,
June 1966,4.37,,,,
July 1966,4.72,,,,
August 1966,5.00,,,,
September 1966,5.28,,,,
October 1966,5.38,,,,
November 1966,5.37,,,,
December 1966,5.27,,,,
January 1967,5.17,,,,
February 1967,5.09,,,,
March 1967,4.98,,,,
April 1967,4.78,,,,
May 1967,4.76,,,,
June 1967,4.67,,,,
July 1967,4.80,,,,
August 1967,4.96,,,,
September 1967,5.21,,,,
