Time Series of Monthly Average Price for Calves,,,,,
,,,,,
Date,Price ($/cwt),,,,
January 1960,24.40,,,,
February 1960,25.00,,,,
March 1960,25.40,,,,
April 1960,25.00,,,,
May 1960,24.70,,,,
June 1960,23.60,,,,
July 1960,22.90,,,,
August 1960,21.50,,,,
September 1960,21.20,,,,
October 1960,21.20,,,,
November 1960,21.70,,,,
December 1960,22.80,,,,
January 1961,23.80,,,,
February 1961,24.10,,,,
March 1961,24.40,,,,
April 1961,24.10,,,,
May 1961,23.60,,,,
June 1961,23.10,,,,
July 1961,22.90,,,,
August 1961,23.20,,,,
September 1961,23.30,,,,
October 1961,23.60,,,,
November 1961,23.70,,,,
December 1961,24.10,,,,
January 1962,24.70,,,,
February 1962,25.00,,,,
March 1962,25.20,,,,
April 1962,25.40,,,,
May 1962,25.10,,,,
June 1962,24.70,,,,
July 1962,24.60,,,,
August 1962,24.70,,,,
September 1962,25.10,,,,
October 1962,25.00,,,,
November 1962,24.90,,,,
December 1962,25.60,,,,
January 1963,25.30,,,,
February 1963,24.90,,,,
March 1963,24.80,,,,
April 1963,25.20,,,,
May 1963,24.70,,,,
June 1963,24.20,,,,
July 1963,24.30,,,,
August 1963,24.20,,,,
September 1963,23.90,,,,
October 1963,23.20,,,,
November 1963,22.80,,,,
December 1963,22.10,,,,
January 1964,22.80,,,,
February 1964,23.20,,,,
March 1964,23.20,,,,
April 1964,22.20,,,,
May 1964,21.00,,,,
June 1964,19.90,,,,
July 1964,19.40,,,,
August 1964,19.30,,,,
September 1964,19.80,,,,
October 1964,19.00,,,,
November 1964,19.30,,,,
December 1964,19.00,,,,
January 1965,20.10,,,,
February 1965,20.50,,,,
March 1965,20.50,,,,
April 1965,21.30,,,,
May 1965,21.90,,,,
June 1965,23.10,,,,
July 1965,22.60,,,,
August 1965,22.20,,,,
September 1965,22.40,,,,
October 1965,22.10,,,,
November 1965,22.40,,,,
December 1965,23.10,,,,
January 1966,24.60,,,,
February 1966,26.30,,,,
March 1966,27.50,,,,
April 1966,26.90,,,,
May 1966,26.80,,,,
June 1966,26.00,,,,
July 1966,25.20,,,,
August 1966,26.00,,,,
September 1966,26.50,,,,
October 1966,25.70,,,,
November 1966,25.20,,,,
December 1966,25.30,,,,
January 1967,25.90,,,,
February 1967,26.40,,,,
March 1967,26.10,,,,
April 1967,26.10,,,,
May 1967,26.80,,,,
June 1967,26.80,,,,
July 1967,27.20,,,,
August 1967,26.90,,,,
September 1967,26.70,,,,
October 1967,26.20,,,,
November 1967,25.60,,,,
December 1967,25.90,,,,
January 1968,26.40,,,,
February 1968,27.60,,,,
March 1968,28.10,,,,
April 1968,28.10,,,,
May 1968,28.20,,,,
June 1968,28.20,,,,
July 1968,28.00,,,,
August 1968,27.60,,,,
September 1968,27.10,,,,
October 1968,27.20,,,,
November 1968,27.40,,,,
December 1968,27.80,,,,
January 1969,28.30,,,,
February 1969,29.60,,,,
March 1969,30.50,,,,
April 1969,32.10,,,,
May 1969,33.40,,,,
June 1969,33.60,,,,
July 1969,32.10,,,,
August 1969,31.50,,,,
September 1969,31.50,,,,
October 1969,31.30,,,,
November 1969,31.30,,,,
December 1969,32.60,,,,
January 1970,33.60,,,,
February 1970,35.10,,,,
March 1970,36.40,,,,
April 1970,35.90,,,,
May 1970,35.80,,,,
June 1970,35.30,,,,
July 1970,34.60,,,,
August 1970,34.00,,,,
September 1970,33.80,,,,
October 1970,34.00,,,,
November 1970,33.20,,,,
December 1970,32.70,,,,
January 1971,33.50,,,,
February 1971,35.70,,,,
March 1971,35.50,,,,
April 1971,35.40,,,,
May 1971,36.00,,,,
June 1971,35.60,,,,
July 1971,35.10,,,,
August 1971,36.40,,,,
September 1971,36.30,,,,
October 1971,36.90,,,,
November 1971,37.80,,,,
December 1971,38.40,,,,
January 1972,39.70,,,,
February 1972,41.20,,,,
March 1972,41.80,,,,
April 1972,41.50,,,,
May 1972,42.90,,,,
June 1972,44.00,,,,
July 1972,45.10,,,,
August 1972,45.00,,,,
September 1972,45.60,,,,
October 1972,47.10,,,,
November 1972,46.80,,,,
December 1972,46.60,,,,
January 1973,49.40,,,,
February 1973,53.00,,,,
March 1973,58.50,,,,
April 1973,56.60,,,,
May 1973,58.90,,,,
June 1973,58.50,,,,
July 1973,59.20,,,,
August 1973,68.20,,,,
September 1973,61.20,,,,
October 1973,57.70,,,,
November 1973,52.80,,,,
December 1973,50.10,,,,
January 1974,54.10,,,,
February 1974,53.30,,,,
March 1974,49.60,,,,
April 1974,47.40,,,,
May 1974,42.70,,,,
June 1974,37.40,,,,
July 1974,36.00,,,,
August 1974,34.30,,,,
September 1974,30.10,,,,
October 1974,27.70,,,,
November 1974,25.70,,,,
December 1974,25.00,,,,
January 1975,23.90,,,,
February 1975,24.50,,,,
March 1975,24.80,,,,
April 1975,26.90,,,,
May 1975,29.10,,,,
June 1975,29.10,,,,
July 1975,27.70,,,,
August 1975,25.40,,,,
September 1975,26.90,,,,
October 1975,26.60,,,,
November 1975,28.30,,,,
December 1975,30.00,,,,
January 1976,30.80,,,,
February 1976,33.80,,,,
March 1976,34.80,,,,
April 1976,38.20,,,,
May 1976,38.80,,,,
June 1976,37.70,,,,
July 1976,34.90,,,,
August 1976,34.20,,,,
September 1976,32.90,,,,
October 1976,33.00,,,,
November 1976,32.10,,,,
December 1976,32.80,,,,
January 1977,33.40,,,,
February 1977,35.70,,,,
March 1977,36.60,,,,
April 1977,38.20,,,,
May 1977,38.40,,,,
June 1977,35.80,,,,
July 1977,36.40,,,,
August 1977,37.10,,,,
September 1977,38.00,,,,
October 1977,37.20,,,,
November 1977,36.80,,,,
December 1977,37.50,,,,
January 1978,41.00,,,,
February 1978,44.90,,,,
March 1978,50.00,,,,
April 1978,53.70,,,,
May 1978,59.50,,,,
June 1978,58.70,,,,
July 1978,60.10,,,,
August 1978,61.90,,,,
September 1978,65.70,,,,
October 1978,66.40,,,,
November 1978,67.20,,,,
December 1978,72.10,,,,
January 1979,79.10,,,,
February 1979,87.00,,,,
March 1979,94.80,,,,
April 1979,98.20,,,,
May 1979,99.50,,,,
June 1979,92.30,,,,
July 1979,91.20,,,,
August 1979,87.20,,,,
September 1979,90.00,,,,
October 1979,86.90,,,,
November 1979,86.30,,,,
December 1979,84.30,,,,
January 1980,86.90,,,,
February 1980,90.90,,,,
March 1980,82.60,,,,
April 1980,75.50,,,,
May 1980,75.40,,,,
June 1980,76.90,,,,
July 1980,75.40,,,,
August 1980,75.60,,,,
September 1980,74.30,,,,
October 1980,73.90,,,,
November 1980,72.10,,,,
December 1980,70.30,,,,
January 1981,70.40,,,,
February 1981,70.60,,,,
March 1981,68.80,,,,
April 1981,69.60,,,,
May 1981,66.00,,,,
June 1981,66.30,,,,
July 1981,62.00,,,,
August 1981,62.30,,,,
September 1981,61.40,,,,
October 1981,59.00,,,,
November 1981,59.40,,,,
December 1981,57.70,,,,
January 1982,57.00,,,,
February 1982,58.90,,,,
March 1982,61.90,,,,
April 1982,62.10,,,,
May 1982,64.20,,,,
June 1982,61.70,,,,
July 1982,60.40,,,,
August 1982,61.80,,,,
September 1982,59.00,,,,
October 1982,58.30,,,,
November 1982,58.10,,,,
December 1982,58.80,,,,
January 1983,62.40,,,,
February 1983,66.50,,,,
March 1983,68.40,,,,
April 1983,66.70,,,,
May 1983,66.20,,,,
June 1983,64.30,,,,
July 1983,60.30,,,,
August 1983,57.40,,,,
September 1983,56.10,,,,
October 1983,57.20,,,,
November 1983,59.40,,,,
December 1983,60.60,,,,
January 1984,61.10,,,,
February 1984,63.90,,,,
March 1984,63.70,,,,
April 1984,62.30,,,,
May 1984,60.80,,,,
June 1984,59.20,,,,
July 1984,59.10,,,,
August 1984,59.10,,,,
September 1984,56.60,,,,
October 1984,58.20,,,,
November 1984,59.40,,,,
December 1984,59.40,,,,
January 1985,64.10,,,,
February 1985,65.40,,,,
March 1985,65.90,,,,
April 1985,65.40,,,,
May 1985,65.60,,,,
June 1985,62.60,,,,
July 1985,60.00,,,,
August 1985,61.40,,,,
September 1985,58.30,,,,
October 1985,60.20,,,,
November 1985,61.40,,,,
December 1985,58.80,,,,
January 1986,60.10,,,,
February 1986,62.70,,,,
March 1986,61.90,,,,
April 1986,58.90,,,,
May 1986,58.00,,,,
June 1986,58.10,,,,
July 1986,59.40,,,,
August 1986,61.10,,,,
September 1986,63.40,,,,
October 1986,62.70,,,,
November 1986,62.20,,,,
December 1986,62.20,,,,
January 1987,66.40,,,,
February 1987,70.60,,,,
March 1987,72.50,,,,
April 1987,75.10,,,,
May 1987,77.40,,,,
June 1987,78.80,,,,
July 1987,80.30,,,,
August 1987,82.30,,,,
September 1987,85.90,,,,
October 1987,81.40,,,,
November 1987,82.90,,,,
December 1987,83.00,,,,
January 1988,88.20,,,,
February 1988,92.60,,,,
