Time Series of Monthly Average Price for Steers & Heifers,,,,,,
,,,,,,
Date,Price ($/cwt),,,,,
January 1960,20.50,,,,,
February 1960,20.90,,,,,
March 1960,21.80,,,,,
April 1960,21.80,,,,,
May 1960,21.70,,,,,
June 1960,20.80,,,,,
July 1960,20.30,,,,,
August 1960,19.60,,,,,
September 1960,19.40,,,,,
October 1960,19.00,,,,,
November 1960,19.20,,,,,
December 1960,20.20,,,,,
January 1961,20.90,,,,,
February 1961,20.70,,,,,
March 1961,20.80,,,,,
April 1961,20.50,,,,,
May 1961,19.70,,,,,
June 1961,19.40,,,,,
July 1961,19.20,,,,,
August 1961,20.10,,,,,
September 1961,20.20,,,,,
October 1961,20.00,,,,,
November 1961,20.10,,,,,
December 1961,20.50,,,,,
January 1962,20.80,,,,,
February 1962,21.00,,,,,
March 1962,21.10,,,,,
April 1962,21.30,,,,,
May 1962,21.30,,,,,
June 1962,20.90,,,,,
July 1962,21.00,,,,,
August 1962,21.60,,,,,
September 1962,22.00,,,,,
October 1962,21.70,,,,,
November 1962,21.50,,,,,
December 1962,21.50,,,,,
January 1963,21.70,,,,,
February 1963,20.40,,,,,
March 1963,19.70,,,,,
April 1963,20.50,,,,,
May 1963,19.70,,,,,
June 1963,19.70,,,,,
July 1963,20.70,,,,,
August 1963,20.40,,,,,
September 1963,20.10,,,,,
October 1963,19.60,,,,,
November 1963,18.60,,,,,
December 1963,17.60,,,,,
January 1964,18.70,,,,,
February 1964,18.30,,,,,
March 1964,18.80,,,,,
April 1964,18.20,,,,,
May 1964,17.60,,,,,
June 1964,17.50,,,,,
July 1964,18.10,,,,,
August 1964,18.20,,,,,
September 1964,18.60,,,,,
October 1964,17.80,,,,,
November 1964,17.50,,,,,
December 1964,17.40,,,,,
January 1965,18.00,,,,,
February 1965,18.20,,,,,
March 1965,18.60,,,,,
April 1965,19.20,,,,,
May 1965,20.50,,,,,
June 1965,21.30,,,,,
July 1965,21.00,,,,,
August 1965,20.60,,,,,
September 1965,20.60,,,,,
October 1965,20.10,,,,,
November 1965,19.70,,,,,
December 1965,20.30,,,,,
January 1966,21.10,,,,,
February 1966,22.40,,,,,
March 1966,23.80,,,,,
April 1966,23.60,,,,,
May 1966,23.00,,,,,
June 1966,22.50,,,,,
July 1966,21.90,,,,,
August 1966,22.40,,,,,
September 1966,22.50,,,,,
October 1966,21.90,,,,,
November 1966,20.90,,,,,
December 1966,21.00,,,,,
January 1967,21.80,,,,,
February 1967,21.70,,,,,
March 1967,21.50,,,,,
April 1967,21.80,,,,,
May 1967,22.30,,,,,
June 1967,23.00,,,,,
July 1967,23.20,,,,,
August 1967,23.30,,,,,
September 1967,23.00,,,,,
October 1967,22.30,,,,,
November 1967,21.40,,,,,
December 1967,21.70,,,,,
January 1968,21.90,,,,,
February 1968,22.90,,,,,
March 1968,23.40,,,,,
April 1968,23.60,,,,,
May 1968,23.70,,,,,
June 1968,23.80,,,,,
July 1968,24.00,,,,,
August 1968,23.90,,,,,
September 1968,23.60,,,,,
October 1968,23.00,,,,,
November 1968,23.00,,,,,
December 1968,23.50,,,,,
January 1969,23.80,,,,,
February 1969,24.30,,,,,
March 1969,25.40,,,,,
April 1969,26.70,,,,,
May 1969,28.60,,,,,
June 1969,29.40,,,,,
July 1969,27.90,,,,,
August 1969,26.90,,,,,
September 1969,26.10,,,,,
October 1969,25.40,,,,,
November 1969,24.90,,,,,
December 1969,25.60,,,,,
January 1970,26.40,,,,,
February 1970,27.40,,,,,
March 1970,29.00,,,,,
April 1970,28.70,,,,,
May 1970,27.90,,,,,
June 1970,28.10,,,,,
July 1970,28.10,,,,,
August 1970,27.10,,,,,
September 1970,26.80,,,,,
October 1970,26.50,,,,,
November 1970,25.10,,,,,
December 1970,24.40,,,,,
January 1971,26.10,,,,,
February 1971,28.90,,,,,
March 1971,28.80,,,,,
April 1971,29.10,,,,,
May 1971,29.50,,,,,
June 1971,28.90,,,,,
July 1971,28.50,,,,,
August 1971,29.30,,,,,
September 1971,29.20,,,,,
October 1971,29.30,,,,,
November 1971,29.90,,,,,
December 1971,30.30,,,,,
January 1972,31.80,,,,,
February 1972,32.90,,,,,
March 1972,32.50,,,,,
April 1972,32.20,,,,,
May 1972,33.30,,,,,
June 1972,34.50,,,,,
July 1972,34.60,,,,,
August 1972,33.60,,,,,
September 1972,34.00,,,,,
October 1972,34.40,,,,,
November 1972,33.00,,,,,
December 1972,34.80,,,,,
January 1973,37.90,,,,,
February 1973,40.70,,,,,
March 1973,43.80,,,,,
April 1973,42.80,,,,,
May 1973,43.60,,,,,
June 1973,43.90,,,,,
July 1973,44.60,,,,,
August 1973,51.70,,,,,
September 1973,46.70,,,,,
October 1973,42.70,,,,,
November 1973,39.60,,,,,
December 1973,37.70,,,,,
January 1974,44.20,,,,,
February 1974,43.60,,,,,
March 1974,40.70,,,,,
April 1974,39.20,,,,,
May 1974,37.30,,,,,
June 1974,32.60,,,,,
July 1974,35.30,,,,,
August 1974,37.00,,,,,
September 1974,32.60,,,,,
October 1974,30.60,,,,,
November 1974,28.20,,,,,
December 1974,27.70,,,,,
January 1975,27.40,,,,,
February 1975,26.80,,,,,
March 1975,27.80,,,,,
April 1975,31.60,,,,,
May 1975,35.30,,,,,
June 1975,36.80,,,,,
July 1975,35.20,,,,,
August 1975,32.30,,,,,
September 1975,34.00,,,,,
October 1975,33.40,,,,,
November 1975,32.30,,,,,
December 1975,33.50,,,,,
January 1976,32.80,,,,,
February 1976,33.90,,,,,
March 1976,33.40,,,,,
April 1976,38.00,,,,,
May 1976,37.10,,,,,
June 1976,36.40,,,,,
July 1976,33.60,,,,,
August 1976,33.00,,,,,
September 1976,32.30,,,,,
October 1976,32.20,,,,,
November 1976,31.20,,,,,
December 1976,32.40,,,,,
January 1977,32.20,,,,,
February 1977,33.20,,,,,
March 1977,33.80,,,,,
April 1977,35.30,,,,,
May 1977,36.30,,,,,
June 1977,34.00,,,,,
July 1977,34.90,,,,,
August 1977,34.50,,,,,
September 1977,34.70,,,,,
October 1977,35.10,,,,,
November 1977,34.30,,,,,
December 1977,35.50,,,,,
January 1978,37.70,,,,,
February 1978,40.50,,,,,
March 1978,44.00,,,,,
April 1978,47.20,,,,,
May 1978,50.50,,,,,
June 1978,51.10,,,,,
July 1978,50.10,,,,,
August 1978,49.30,,,,,
September 1978,52.20,,,,,
October 1978,53.20,,,,,
November 1978,51.90,,,,,
December 1978,54.60,,,,,
January 1979,60.20,,,,,
February 1979,64.70,,,,,
March 1979,70.60,,,,,
April 1979,73.40,,,,,
May 1979,71.90,,,,,
June 1979,66.80,,,,,
