Time Series of Monthly Average Price for Corn,,,,,
,,,,,
Date,Price ($/bu),,,,
January 1960,1.00,,,,
February 1960,1.01,,,,
March 1960,1.02,,,,
April 1960,1.06,,,,
May 1960,1.08,,,,
June 1960,1.09,,,,
July 1960,1.09,,,,
August 1960,1.07,,,,
September 1960,1.06,,,,
October 1960,0.99,,,,
November 1960,0.90,,,,
December 1960,0.92,,,,
January 1961,0.97,,,,
February 1961,1.01,,,,
March 1961,1.01,,,,
April 1961,0.97,,,,
May 1961,1.02,,,,
June 1961,1.03,,,,
July 1961,1.05,,,,
August 1961,1.04,,,,
September 1961,1.04,,,,
October 1961,1.02,,,,
November 1961,0.99,,,,
December 1961,0.99,,,,
January 1962,0.99,,,,
February 1962,1.00,,,,
March 1962,1.00,,,,
April 1962,1.02,,,,
May 1962,1.04,,,,
June 1962,1.04,,,,
July 1962,1.05,,,,
August 1962,1.03,,,,
September 1962,1.04,,,,
October 1962,1.03,,,,
November 1962,0.99,,,,
December 1962,1.04,,,,
January 1963,1.07,,,,
February 1963,1.09,,,,
March 1963,1.10,,,,
April 1963,1.10,,,,
May 1963,1.11,,,,
June 1963,1.16,,,,
July 1963,1.19,,,,
August 1963,1.19,,,,
September 1963,1.21,,,,
October 1963,1.11,,,,
November 1963,1.05,,,,
December 1963,1.09,,,,
January 1964,1.12,,,,
February 1964,1.11,,,,
March 1964,1.13,,,,
April 1964,1.15,,,,
May 1964,1.17,,,,
June 1964,1.16,,,,
July 1964,1.12,,,,
August 1964,1.12,,,,
September 1964,1.17,,,,
October 1964,1.13,,,,
November 1964,1.07,,,,
December 1964,1.16,,,,
January 1965,1.18,,,,
February 1965,1.20,,,,
March 1965,1.21,,,,
April 1965,1.23,,,,
May 1965,1.26,,,,
June 1965,1.25,,,,
July 1965,1.22,,,,
August 1965,1.18,,,,
September 1965,1.18,,,,
October 1965,1.10,,,,
November 1965,1.04,,,,
December 1965,1.13,,,,
January 1966,1.19,,,,
February 1966,1.20,,,,
March 1966,1.17,,,,
April 1966,1.19,,,,
May 1966,1.21,,,,
June 1966,1.20,,,,
July 1966,1.27,,,,
August 1966,1.34,,,,
September 1966,1.35,,,,
October 1966,1.29,,,,
November 1966,1.26,,,,
December 1966,1.29,,,,
January 1967,1.28,,,,
February 1967,1.26,,,,
March 1967,1.28,,,,
April 1967,1.26,,,,
May 1967,1.25,,,,
June 1967,1.26,,,,
July 1967,1.21,,,,
August 1967,1.11,,,,
September 1967,1.12,,,,
October 1967,1.04,,,,
November 1967,0.98,,,,
December 1967,1.03,,,,
January 1968,1.04,,,,
February 1968,1.06,,,,
March 1968,1.06,,,,
April 1968,1.06,,,,
May 1968,1.09,,,,
June 1968,1.07,,,,
July 1968,1.04,,,,
August 1968,0.99,,,,
September 1968,1.01,,,,
October 1968,0.96,,,,
November 1968,1.04,,,,
December 1968,1.05,,,,
January 1969,1.08,,,,
February 1969,1.09,,,,
March 1969,1.09,,,,
April 1969,1.12,,,,
May 1969,1.19,,,,
