Time Series of Monthly Average Price for Barrows and Gilts,,,,
,,,,
Date,Price ($/cwt),,,
1/1/60,12.10,,,
2/1/60,13.00,,,
3/1/60,15.00,,,
4/1/60,15.50,,,
5/1/60,15.40,,,
6/1/60,16.00,,,
7/1/60,16.60,,,
8/1/60,16.30,,,
9/1/60,15.70,,,
10/1/60,16.70,,,
11/1/60,16.60,,,
12/1/60,16.50,,,
1/1/61,16.70,,,
2/1/61,17.60,,,
3/1/61,17.10,,,
4/1/61,16.80,,,
5/1/61,16.10,,,
6/1/61,15.80,,,
7/1/61,16.60,,,
8/1/61,17.30,,,
9/1/61,17.50,,,
10/1/61,16.60,,,
11/1/61,15.70,,,
12/1/61,16.10,,,
1/1/62,16.50,,,
2/1/62,16.30,,,
3/1/62,15.90,,,
4/1/62,15.50,,,
5/1/62,15.20,,,
6/1/62,15.90,,,
7/1/62,17.00,,,
8/1/62,17.50,,,
9/1/62,18.10,,,
10/1/62,16.60,,,
11/1/62,16.20,,,
12/1/62,15.70,,,
1/1/63,15.40,,,
2/1/63,14.80,,,
3/1/63,13.80,,,
4/1/63,13.50,,,
5/1/63,14.40,,,
6/1/63,16.10,,,
7/1/63,17.10,,,
8/1/63,16.70,,,
9/1/63,15.50,,,
10/1/63,15.20,,,
11/1/63,14.20,,,
12/1/63,13.60,,,
1/1/64,14.30,,,
2/1/64,14.30,,,
3/1/64,14.20,,,
4/1/64,14.00,,,
5/1/64,14.30,,,
6/1/64,14.90,,,
7/1/64,16.00,,,
8/1/64,15.80,,,
9/1/64,16.20,,,
10/1/64,15.10,,,
11/1/64,14.00,,,
12/1/64,14.80,,,
1/1/65,15.50,,,
2/1/65,16.40,,,
3/1/65,16.40,,,
4/1/65,16.90,,,
5/1/65,19.70,,,
6/1/65,22.40,,,
7/1/65,23.20,,,
8/1/65,23.70,,,
9/1/65,22.10,,,
10/1/65,22.90,,,
11/1/65,23.50,,,
12/1/65,26.90,,,
1/1/66,27.30,,,
2/1/66,27.20,,,
3/1/66,24.00,,,
4/1/66,22.10,,,
5/1/66,22.30,,,
6/1/66,23.20,,,
7/1/66,23.20,,,
8/1/66,24.50,,,
9/1/66,22.30,,,
10/1/66,21.20,,,
