Time Series of Monthly Average Price for Soybeans,,,,,
,,,,,
Date,Price ($/bu),,,,
January 1960,2.01,,,,
February 1960,1.99,,,,
March 1960,1.99,,,,
April 1960,2.02,,,,
May 1960,2.00,,,,
June 1960,1.97,,,,
July 1960,1.97,,,,
August 1960,1.99,,,,
September 1960,1.97,,,,
October 1960,1.94,,,,
November 1960,1.96,,,,
December 1960,1.99,,,,
January 1961,2.23,,,,
February 1961,2.48,,,,
March 1961,2.68,,,,
April 1961,3.02,,,,
May 1961,2.96,,,,
June 1961,2.60,,,,
July 1961,2.48,,,,
August 1961,2.49,,,,
September 1961,2.34,,,,
October 1961,2.20,,,,
November 1961,2.27,,,,
December 1961,2.30,,,,
January 1962,2.32,,,,
February 1962,2.32,,,,
March 1962,2.34,,,,
April 1962,2.38,,,,
May 1962,2.36,,,,
June 1962,2.34,,,,
July 1962,2.35,,,,
August 1962,2.33,,,,
September 1962,2.25,,,,
October 1962,2.23,,,,
November 1962,2.30,,,,
December 1962,2.35,,,,
January 1963,2.41,,,,
February 1963,2.50,,,,
March 1963,2.51,,,,
April 1963,2.45,,,,
May 1963,2.47,,,,
June 1963,2.48,,,,
July 1963,2.44,,,,
August 1963,2.45,,,,
September 1963,2.44,,,,
October 1963,2.56,,,,
November 1963,2.66,,,,
December 1963,2.58,,,,
January 1964,2.65,,,,
February 1964,2.57,,,,
March 1964,2.55,,,,
April 1964,2.45,,,,
May 1964,2.36,,,,
June 1964,2.35,,,,
July 1964,2.34,,,,
August 1964,2.35,,,,
September 1964,2.51,,,,
October 1964,2.55,,,,
November 1964,2.57,,,,
December 1964,2.71,,,,
January 1965,2.73,,,,
February 1965,2.81,,,,
March 1965,2.85,,,,
April 1965,2.85,,,,
May 1965,2.72,,,,
June 1965,2.74,,,,
July 1965,2.69,,,,
August 1965,2.53,,,,
September 1965,2.35,,,,
October 1965,2.31,,,,
November 1965,2.36,,,,
December 1965,2.48,,,,
January 1966,2.67,,,,
February 1966,2.77,,,,
March 1966,2.71,,,,
April 1966,2.78,,,,
May 1966,2.90,,,,
June 1966,3.04,,,,
July 1966,3.37,,,,
August 1966,3.49,,,,
September 1966,2.97,,,,
October 1966,2.78,,,,
November 1966,2.80,,,,
December 1966,2.82,,,,
January 1967,2.77,,,,
February 1967,2.71,,,,
March 1967,2.74,,,,
April 1967,2.71,,,,
May 1967,2.69,,,,
June 1967,2.71,,,,
July 1967,2.66,,,,
August 1967,2.56,,,,
September 1967,2.53,,,,
October 1967,2.44,,,,
November 1967,2.43,,,,
December 1967,2.48,,,,
January 1968,2.53,,,,
February 1968,2.57,,,,
March 1968,2.57,,,,
April 1968,2.56,,,,
May 1968,2.58,,,,
June 1968,2.54,,,,
July 1968,2.52,,,,
August 1968,2.51,,,,
September 1968,2.40,,,,
October 1968,2.32,,,,
November 1968,2.40,,,,
December 1968,2.42,,,,
January 1969,2.46,,,,
February 1969,2.48,,,,
March 1969,2.48,,,,
April 1969,2.51,,,,
May 1969,2.56,,,,
June 1969,2.52,,,,
July 1969,2.52,,,,
August 1969,2.51,,,,
September 1969,2.28,,,,
October 1969,2.23,,,,
November 1969,2.30,,,,
December 1969,2.30,,,,
January 1970,2.36,,,,
February 1970,2.40,,,,
March 1970,2.42,,,,
April 1970,2.48,,,,
May 1970,2.52,,,,
June 1970,2.60,,,,
July 1970,2.72,,,,
August 1970,2.65,,,,
September 1970,2.66,,,,
October 1970,2.77,,,,
November 1970,2.86,,,,
December 1970,2.77,,,,
January 1971,2.86,,,,
February 1971,2.92,,,,
March 1971,2.91,,,,
April 1971,2.80,,,,
May 1971,2.85,,,,
June 1971,2.98,,,,
July 1971,3.18,,,,
August 1971,3.09,,,,
September 1971,2.95,,,,
October 1971,2.96,,,,
November 1971,2.84,,,,
December 1971,2.93,,,,
January 1972,2.92,,,,
February 1972,3.00,,,,
March 1972,3.20,,,,
April 1972,3.37,,,,
May 1972,3.35,,,,
June 1972,3.32,,,,
July 1972,3.34,,,,
August 1972,3.36,,,,
September 1972,3.26,,,,
October 1972,3.13,,,,
November 1972,3.38,,,,
December 1972,3.95,,,,
January 1973,4.11,,,,
February 1973,5.49,,,,
March 1973,6.04,,,,
April 1973,6.14,,,,
May 1973,8.27,,,,
June 1973,10.00,,,,
July 1973,6.69,,,,
August 1973,8.99,,,,
September 1973,5.81,,,,
October 1973,5.63,,,,
November 1973,5.14,,,,
December 1973,5.65,,,,
January 1974,5.87,,,,
February 1974,6.07,,,,
March 1974,5.96,,,,
April 1974,5.15,,,,
May 1974,5.21,,,,
June 1974,5.13,,,,
July 1974,6.11,,,,
August 1974,7.55,,,,
September 1974,7.32,,,,
October 1974,8.17,,,,
November 1974,7.44,,,,
December 1974,7.03,,,,
January 1975,6.30,,,,
February 1975,5.72,,,,
March 1975,5.31,,,,
April 1975,5.60,,,,
May 1975,5.00,,,,
June 1975,4.90,,,,
July 1975,5.28,,,,
August 1975,5.80,,,,
September 1975,5.32,,,,
October 1975,4.92,,,,
November 1975,4.45,,,,
December 1975,4.28,,,,
January 1976,4.46,,,,
February 1976,4.50,,,,
March 1976,4.46,,,,
April 1976,4.52,,,,
May 1976,4.87,,,,
June 1976,6.16,,,,
July 1976,6.73,,,,
August 1976,6.07,,,,
September 1976,6.65,,,,
October 1976,5.90,,,,
November 1976,6.11,,,,
December 1976,6.56,,,,
January 1977,6.81,,,,
February 1977,7.06,,,,
March 1977,7.83,,,,
April 1977,9.05,,,,
May 1977,9.24,,,,
June 1977,8.13,,,,
July 1977,6.52,,,,
August 1977,5.48,,,,
September 1977,5.17,,,,
October 1977,5.28,,,,
November 1977,5.61,,,,
December 1977,5.68,,,,
January 1978,5.75,,,,
February 1978,5.53,,,,
March 1978,6.20,,,,
April 1978,6.49,,,,
May 1978,6.77,,,,
June 1978,6.69,,,,
July 1978,6.40,,,,
August 1978,6.21,,,,
September 1978,6.20,,,,
October 1978,6.26,,,,
November 1978,6.41,,,,
December 1978,6.49,,,,
January 1979,6.58,,,,
February 1979,6.99,,,,
March 1979,7.16,,,,
April 1979,7.06,,,,
May 1979,7.06,,,,
June 1979,7.36,,,,
July 1979,7.36,,,,
August 1979,7.07,,,,
September 1979,6.81,,,,
October 1979,6.35,,,,
November 1979,6.30,,,,
December 1979,6.27,,,,
January 1980,6.39,,,,
February 1980,6.20,,,,
March 1980,5.94,,,,
April 1980,5.63,,,,
May 1980,5.76,,,,
June 1980,5.91,,,,
July 1980,6.75,,,,
August 1980,7.18,,,,
September 1980,7.59,,,,
October 1980,7.68,,,,
November 1980,8.18,,,,
December 1980,7.80,,,,
January 1981,7.80,,,,
February 1981,7.50,,,,
March 1981,7.59,,,,
April 1981,7.60,,,,
May 1981,7.40,,,,
June 1981,7.05,,,,
July 1981,7.13,,,,
August 1981,6.71,,,,
September 1981,6.21,,,,
October 1981,6.06,,,,
November 1981,6.04,,,,
December 1981,6.00,,,,
January 1982,6.13,,,,
February 1982,6.04,,,,
March 1982,5.99,,,,
April 1982,6.17,,,,
May 1982,6.27,,,,
June 1982,6.12,,,,
July 1982,5.99,,,,
August 1982,5.59,,,,
September 1982,5.22,,,,
October 1982,5.06,,,,
November 1982,5.34,,,,
December 1982,5.46,,,,
January 1983,5.56,,,,
February 1983,5.66,,,,
March 1983,5.82,,,,
April 1983,6.09,,,,
May 1983,6.06,,,,
June 1983,5.90,,,,
July 1983,6.27,,,,
August 1983,7.57,,,,
September 1983,8.28,,,,
October 1983,7.96,,,,
November 1983,7.81,,,,
December 1983,7.75,,,,
January 1984,7.85,,,,
February 1984,7.28,,,,
March 1984,7.68,,,,
April 1984,7.83,,,,
May 1984,8.12,,,,
June 1984,7.99,,,,
July 1984,6.95,,,,
August 1984,6.50,,,,
September 1984,6.09,,,,
October 1984,6.07,,,,
November 1984,6.01,,,,
December 1984,5.82,,,,
January 1985,5.91,,,,
February 1985,5.77,,,,
March 1985,5.88,,,,
April 1985,5.88,,,,
May 1985,5.70,,,,
June 1985,5.62,,,,
July 1985,5.42,,,,
August 1985,5.10,,,,
September 1985,4.99,,,,
October 1985,4.85,,,,
November 1985,4.92,,,,
December 1985,5.01,,,,
January 1986,5.16,,,,
February 1986,5.18,,,,
March 1986,5.23,,,,
April 1986,5.23,,,,
