Time Series of Monthly Average Price for Wheat,,,,,
,,,,,
Date,Price ($/bu),,,,
January 1960,1.78,,,,
February 1960,1.80,,,,
March 1960,1.82,,,,
April 1960,1.82,,,,
May 1960,1.82,,,,
June 1960,1.72,,,,
July 1960,1.67,,,,
August 1960,1.71,,,,
September 1960,1.72,,,,
October 1960,1.74,,,,
November 1960,1.76,,,,
December 1960,1.77,,,,
January 1961,1.79,,,,
February 1961,1.81,,,,
March 1961,1.80,,,,
April 1961,1.74,,,,
May 1961,1.76,,,,
June 1961,1.72,,,,
July 1961,1.73,,,,
August 1961,1.83,,,,
September 1961,1.87,,,,
October 1961,1.88,,,,
November 1961,1.88,,,,
December 1961,1.89,,,,
January 1962,1.88,,,,
February 1962,1.88,,,,
March 1962,1.89,,,,
April 1962,1.92,,,,
May 1962,1.98,,,,
June 1962,1.99,,,,
July 1962,1.98,,,,
August 1962,2.00,,,,
September 1962,1.99,,,,
October 1962,1.97,,,,
November 1962,2.00,,,,
December 1962,2.02,,,,
January 1963,2.01,,,,
February 1963,2.01,,,,
March 1963,2.04,,,,
April 1963,2.09,,,,
May 1963,2.04,,,,
June 1963,1.86,,,,
July 1963,1.75,,,,
August 1963,1.77,,,,
September 1963,1.84,,,,
October 1963,1.95,,,,
November 1963,1.95,,,,
December 1963,1.97,,,,
January 1964,2.00,,,,
February 1964,1.99,,,,
March 1964,1.85,,,,
April 1964,1.94,,,,
May 1964,1.88,,,,
June 1964,1.40,,,,
July 1964,1.33,,,,
August 1964,1.33,,,,
September 1964,1.36,,,,
October 1964,1.36,,,,
November 1964,1.39,,,,
December 1964,1.39,,,,
January 1965,1.38,,,,
February 1965,1.37,,,,
March 1965,1.36,,,,
April 1965,1.34,,,,
May 1965,1.33,,,,
June 1965,1.28,,,,
July 1965,1.31,,,,
August 1965,1.34,,,,
September 1965,1.33,,,,
October 1965,1.35,,,,
November 1965,1.38,,,,
December 1965,1.40,,,,
January 1966,1.41,,,,
February 1966,1.43,,,,
March 1966,1.41,,,,
April 1966,1.39,,,,
May 1966,1.44,,,,
June 1966,1.59,,,,
July 1966,1.74,,,,
August 1966,1.70,,,,
September 1966,1.71,,,,
October 1966,1.59,,,,
November 1966,1.60,,,,
December 1966,1.61,,,,
January 1967,1.57,,,,
February 1967,1.49,,,,
March 1967,1.59,,,,
April 1967,1.55,,,,
May 1967,1.58,,,,
June 1967,1.49,,,,
July 1967,1.37,,,,
August 1967,1.41,,,,
September 1967,1.39,,,,
October 1967,1.43,,,,
November 1967,1.39,,,,
December 1967,1.39,,,,
January 1968,1.40,,,,
February 1968,1.42,,,,
March 1968,1.42,,,,
April 1968,1.36,,,,
May 1968,1.36,,,,
June 1968,1.24,,,,
July 1968,1.19,,,,
August 1968,1.19,,,,
September 1968,1.22,,,,
October 1968,1.26,,,,
November 1968,1.29,,,,
December 1968,1.26,,,,
January 1969,1.27,,,,
February 1969,1.28,,,,
March 1969,1.28,,,,
April 1969,1.28,,,,
May 1969,1.28,,,,
June 1969,1.22,,,,
July 1969,1.15,,,,
August 1969,1.19,,,,
September 1969,1.24,,,,
October 1969,1.28,,,,
November 1969,1.29,,,,
December 1969,1.30,,,,
January 1970,1.29,,,,
February 1970,1.30,,,,
March 1970,1.28,,,,
April 1970,1.32,,,,
May 1970,1.31,,,,
June 1970,1.23,,,,
July 1970,1.23,,,,
August 1970,1.31,,,,
September 1970,1.41,,,,
October 1970,1.43,,,,
November 1970,1.45,,,,
December 1970,1.41,,,,
January 1971,1.40,,,,
February 1971,1.41,,,,
March 1971,1.39,,,,
April 1971,1.40,,,,
May 1971,1.43,,,,
June 1971,1.46,,,,
July 1971,1.34,,,,
August 1971,1.28,,,,
September 1971,1.26,,,,
October 1971,1.30,,,,
November 1971,1.31,,,,
December 1971,1.34,,,,
January 1972,1.33,,,,
February 1972,1.34,,,,
March 1972,1.34,,,,
April 1972,1.36,,,,
May 1972,1.38,,,,
June 1972,1.33,,,,
July 1972,1.32,,,,
August 1972,1.51,,,,
September 1972,1.73,,,,
October 1972,1.89,,,,
November 1972,1.97,,,,
December 1972,2.38,,,,
January 1973,2.38,,,,
February 1973,1.97,,,,
March 1973,2.06,,,,
April 1973,2.15,,,,
May 1973,2.15,,,,
June 1973,2.43,,,,
July 1973,2.47,,,,
August 1973,4.45,,,,
September 1973,4.62,,,,
October 1973,4.22,,,,
November 1973,4.20,,,,
December 1973,4.78,,,,
January 1974,5.29,,,,
February 1974,5.52,,,,
March 1974,4.96,,,,
April 1974,3.98,,,,
May 1974,3.52,,,,
June 1974,3.57,,,,
July 1974,4.04,,,,
August 1974,4.24,,,,
September 1974,4.32,,,,
October 1974,4.85,,,,
November 1974,4.87,,,,
December 1974,4.65,,,,
January 1975,4.11,,,,
February 1975,3.95,,,,
March 1975,3.65,,,,
April 1975,3.69,,,,
May 1975,3.47,,,,
June 1975,2.92,,,,
July 1975,3.33,,,,
August 1975,3.89,,,,
September 1975,4.11,,,,
October 1975,4.02,,,,
November 1975,3.58,,,,
December 1975,3.41,,,,
January 1976,3.43,,,,
February 1976,3.66,,,,
March 1976,3.65,,,,
April 1976,3.50,,,,
May 1976,3.43,,,,
June 1976,3.46,,,,
July 1976,3.33,,,,
August 1976,2.97,,,,
September 1976,2.88,,,,
October 1976,2.59,,,,
November 1976,2.46,,,,
December 1976,2.39,,,,
January 1977,2.43,,,,
February 1977,2.47,,,,
March 1977,2.43,,,,
April 1977,2.37,,,,
May 1977,2.19,,,,
June 1977,2.03,,,,
July 1977,2.04,,,,
August 1977,2.13,,,,
September 1977,2.16,,,,
October 1977,2.30,,,,
November 1977,2.46,,,,
December 1977,2.47,,,,
January 1978,2.53,,,,
February 1978,2.59,,,,
March 1978,2.67,,,,
April 1978,2.82,,,,
May 1978,2.82,,,,
June 1978,2.81,,,,
July 1978,2.81,,,,
August 1978,2.88,,,,
September 1978,2.92,,,,
October 1978,2.99,,,,
November 1978,3.04,,,,
December 1978,3.01,,,,
January 1979,2.99,,,,
February 1979,2.99,,,,
March 1979,2.97,,,,
April 1979,3.01,,,,
May 1979,3.20,,,,
June 1979,3.72,,,,
July 1979,3.89,,,,
August 1979,3.74,,,,
September 1979,3.87,,,,
October 1979,3.98,,,,
November 1979,3.94,,,,
December 1979,3.81,,,,
January 1980,3.74,,,,
February 1980,3.78,,,,
March 1980,3.64,,,,
April 1980,3.58,,,,
May 1980,3.69,,,,
June 1980,3.69,,,,
July 1980,3.81,,,,
August 1980,3.94,,,,
September 1980,3.99,,,,
October 1980,4.19,,,,
November 1980,4.32,,,,
December 1980,4.22,,,,
January 1981,4.21,,,,
February 1981,4.17,,,,
March 1981,4.09,,,,
April 1981,4.07,,,,
May 1981,3.95,,,,
June 1981,3.70,,,,
July 1981,3.62,,,,
August 1981,3.62,,,,
September 1981,3.65,,,,
October 1981,3.77,,,,
November 1981,3.85,,,,
December 1981,3.80,,,,
January 1982,3.78,,,,
February 1982,3.70,,,,
March 1982,3.67,,,,
April 1982,3.68,,,,
May 1982,3.64,,,,
June 1982,3.39,,,,
July 1982,3.26,,,,
August 1982,3.34,,,,
